epoch,train_loss,val_loss,val_acc
1,4.020339709013306,3.132263427688962,28.91156462585034
2,2.473768148710687,2.245937069662574,48.97959183673469
3,1.2761817330899445,1.6233422354776033,63.26530612244898
4,0.4955280676230591,1.4669368413029884,63.60544217687075
5,0.18460112762811728,1.3896266676130749,67.3469387755102
6,0.09617223499628005,1.304405226188452,69.04761904761905
7,0.06184747207254904,1.29827331199127,65.98639455782312
8,0.04826832128044337,1.2451700604691798,70.06802721088435
9,0.03888708696417187,1.248390951529652,67.68707482993197
10,0.03380592548779594,1.2828705087810957,64.96598639455783
11,0.029029731928513495,1.2813949333567198,65.3061224489796
12,0.029893469596404886,1.3441946328091783,63.60544217687075
13,0.07466814963319576,1.8378459117850479,53.40136054421769
14,0.2768589463599012,2.958671447371139,38.775510204081634
15,0.42634655899722096,1.8761858218381193,53.74149659863946
16,0.1530535518334358,1.7252393908241168,56.12244897959183
17,0.06194588100442589,1.383248768087958,64.28571428571429
18,0.032319154572058716,1.4730519250947602,63.26530612244898
19,0.027988026191837847,1.3673426204798174,63.94557823129252
20,0.023137669161750824,1.3369853853368434,64.62585034013605
21,0.022229411693849725,1.475072834767452,62.244897959183675
22,0.02844350078514652,1.4994741084218837,62.244897959183675
23,0.05104260048450504,1.7765464794879058,57.14285714285714
24,0.05452158211788518,1.8162502954606297,57.48299319727891
25,0.0791269309832829,1.8808789139702207,54.421768707483
