epoch,train_loss,val_loss,val_acc
1,0.09131345725448393,0.059229376827677094,98.66666666666667
2,0.04334038509099071,0.05347090548525254,97.6
3,0.020226342293134917,0.04804487878208359,98.93333333333332
4,0.01597492873932306,0.06458985792612656,98.4
5,0.04503461425169171,0.047139860096077124,97.6
6,0.016789250431520998,0.03458942589256912,99.2
7,0.005264383477510888,0.043064324314706026,98.66666666666667
8,0.002683130700766747,0.04563787104414466,99.46666666666667
9,0.0037716294070778466,0.06255647781801721,98.66666666666667
10,0.017150137214893096,0.07074616707519939,98.66666666666667
11,0.01623802375118737,0.035426361583794155,99.2
12,0.007284171466284351,0.15321899461203914,97.33333333333334
13,0.024877640891371452,0.073982007779181,97.6
14,0.011021683260236097,0.0770573800939601,98.13333333333333
15,0.010214438210024965,0.04647034550489237,98.66666666666667
16,0.021551079508010062,0.055817411601543424,98.13333333333333
17,0.0065518459500092064,0.08937801162238854,98.66666666666667
18,0.006801876336318595,0.05922914676057796,98.4
19,0.006143754259105519,0.05027204980227786,98.93333333333332
20,0.002703638593358187,0.07996388257170717,98.66666666666667
21,0.0012773550993634628,0.060654884613274285,98.4
22,0.007643651647654139,0.06801956718286965,98.66666666666667
23,0.0011556330365480505,0.057176719838714536,98.66666666666667
24,0.00028963208117598825,0.06095878010541007,98.93333333333332
25,8.367311487946881e-05,0.06349276018562766,99.2
