epoch,train_loss,val_loss,val_acc
1,3.8119342417059374,2.676192299524943,37.77777777777778
2,2.043777537773477,1.8063081238004897,55.833333333333336
3,0.9065775998079563,1.3337600893444486,67.22222222222223
4,0.3243941726254031,1.141023153728909,71.94444444444444
5,0.12637721090568904,1.065525099966261,75.0
6,0.07170761351277229,1.0466746383243137,75.27777777777777
7,0.05171548535537041,0.9965374377038744,76.38888888888889
8,0.0652374152183975,1.1996591250101725,70.0
9,0.06027987208182825,1.4343885368771023,67.22222222222223
10,0.12378874426188112,1.2255824936760797,68.61111111111111
11,0.14626707684020607,1.5117281039555868,62.22222222222222
12,0.11572920113580788,1.2489850918451946,70.0
13,0.06974364665550586,1.2512664490275913,68.88888888888889
14,0.049034760961966815,1.1841362555821737,75.0
15,0.04998076485496431,1.2233022265964084,72.5
16,0.07357872896882474,1.4771874692704943,64.44444444444444
17,0.09622385144583885,1.2166103495491876,70.0
18,0.07352634759858279,1.482956635951996,65.27777777777779
19,0.07525655409999667,1.6008880178133646,64.72222222222223
20,0.07914795536011107,1.5516520950529311,65.83333333333333
21,0.06384030578170725,1.3766334136327107,69.16666666666667
22,0.05592150412656565,1.4424754937489828,65.27777777777779
23,0.037505525945015966,1.402727484703064,68.33333333333333
24,0.06506813830715052,1.368098595407274,68.61111111111111
25,0.03886166546636606,1.5091313282648722,65.27777777777779
