epoch,train_loss,val_loss,val_acc
1,0.1997742552829644,0.16696054226922097,92.67100977198697
2,0.10881960777580171,0.10160581680797405,96.09120521172639
3,0.08327696969156731,0.12857693288754368,96.57980456026058
4,0.049096510133669356,0.14421034875479058,95.52117263843648
5,0.04832260547116848,0.16251445215491955,94.95114006514657
6,0.03383994404582375,0.1442069186869226,96.00977198697068
7,0.03412257532281156,0.17360927707620696,94.78827361563518
8,0.03594399264875771,0.17576359814421216,94.05537459283387
9,0.03227817671377281,0.13643104766829414,95.92833876221498
10,0.022722715853767523,0.177851992487871,95.27687296416939
11,0.016844164887540154,0.20301391228984103,95.52117263843648
12,0.029322085673137682,0.16391952308361246,95.84690553745928
13,0.024606554019333916,0.14106417507849367,95.92833876221498
14,0.010542147609160637,0.18725274592785762,95.76547231270358
15,0.019312311658696533,0.18438782714969396,95.27687296416939
16,0.018127104876692703,0.12939650648545037,96.25407166123779
17,0.031347520271510214,0.185647538300006,94.21824104234527
18,0.022705866733997333,0.13674216479977291,96.25407166123779
19,0.008248959858494161,0.14671092514752565,96.82410423452768
20,0.017121760825578633,0.22634783282159132,93.48534201954396
21,0.017233829745999525,0.149999755156665,95.92833876221498
22,0.021311547183213504,0.16606969408517824,95.43973941368078
23,0.006665346668449249,0.15098898518106355,96.41693811074919
24,0.010352982097098798,0.190162937073147,95.19543973941367
25,0.02356724976029689,0.1861027380926654,95.68403908794788
